ANO_ELEICAO,NUM_TURNO,DESCRICAO_ELEICAO,SIGLA_UF,SIGLA_UE,NUMERO_PARTIDO,SIGLA_PARTIDO,NUMERO_CANDIDATO,DES_SITUACAO_CANDIDATURA,IDADE_DATA_ELEICAO,DESCRICAO_SEXO,DESCRICAO_GRAU_INSTRUCAO,DESCRICAO_ESTADO_CIVIL,DESCRICAO_COR_RACA,DESC_SIT_TOT_TURNO
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2555,DEFERIDO,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1311,DEFERIDO,39,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2500,DEFERIDO,45,MASCULINO,SUPERIOR INCOMPLETO,DIVORCIADO(A),PRETA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,45,PSDB,4545,DEFERIDO,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1101,DEFERIDO,55,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1300,RENÚNCIA,57,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,#NULO#
2014,1,Eleições Gerais 2014,AC,AC,43,PV,4325,DEFERIDO,40,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2515,DEFERIDO,59,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1377,DEFERIDO,35,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1310,DEFERIDO,41,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,43,PV,4321,DEFERIDO,33,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,23,PPS,2323,DEFERIDO,57,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,70,PT do B,7070,DEFERIDO,44,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,70,PT do B,7088,DEFERIDO,65,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,15,PMDB,1555,DEFERIDO,64,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1123,DEFERIDO,62,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1111,DEFERIDO,33,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2577,DEFERIDO,54,MASCULINO,SUPERIOR COMPLETO,SEPARADO(A) JUDICIALMENTE,PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,50,PSOL,5050,DEFERIDO,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,17,PSL,1733,DEFERIDO,52,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,90,PROS,9090,DEFERIDO,56,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,31,PHS,3131,DEFERIDO,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,15,PMDB,1515,DEFERIDO,33,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,14,PTB,1400,DEFERIDO,62,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2580,DEFERIDO,42,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,55,PSD,5555,DEFERIDO,52,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1313,DEFERIDO,56,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1331,DEFERIDO,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,54,PPL,5432,DEFERIDO,36,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,27,PSDC,2727,DEFERIDO,52,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,20,PSC,2020,DEFERIDO,44,FEMININO,SUPERIOR COMPLETO,CASADO(A),AMARELA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,22,PR,2222,DEFERIDO,37,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,10,PRB,1012,DEFERIDO,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR MÉDIA
2014,1,Eleições Gerais 2014,AC,AC,33,PMN,3333,DEFERIDO,46,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1314,DEFERIDO,59,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1321,DEFERIDO,44,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,44,PRP,4444,DEFERIDO,58,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1144,DEFERIDO,61,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2533,DEFERIDO,51,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,45,PSDB,4567,DEFERIDO,45,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,45,PSDB,4510,DEFERIDO,46,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1145,RENÚNCIA,41,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,#NULO#
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1365,DEFERIDO,48,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,45,PSDB,4500,DEFERIDO,66,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,50,PSOL,5012,DEFERIDO,28,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,40,PSB,4040,DEFERIDO,56,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,ELEITO POR QP
2014,1,Eleições Gerais 2014,AC,AC,55,PSD,5500,DEFERIDO,69,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,77,SD,7777,DEFERIDO,47,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2511,DEFERIDO,46,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PRETA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,54,PPL,5431,DEFERIDO,43,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,19,PTN,1919,DEFERIDO,53,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,45,PSDB,4554,DEFERIDO,36,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1122,DEFERIDO,30,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,43,PV,4343,DEFERIDO,51,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,12,PDT,1212,DEFERIDO,54,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,25,DEM,2525,DEFERIDO,57,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,65,PC do B,6513,DEFERIDO,51,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,43,PV,4399,DEFERIDO,48,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,50,PSOL,5051,DEFERIDO,51,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,NÃO ELEITO
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1399,DEFERIDO,22,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,11,PP,1112,DEFERIDO,63,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,SUPLENTE
2014,1,Eleições Gerais 2014,AC,AC,13,PT,1333,DEFERIDO,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SUPLENTE
