"ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"2018","AC","1","12","PRESIDENTE","21809"
"2018","AC","1","13","PRESIDENTE","78170"
"2018","AC","1","15","PRESIDENTE","6458"
"2018","AC","1","16","PRESIDENTE","80"
"2018","AC","1","17","PRESIDENTE","262508"
"2018","AC","1","18","PRESIDENTE","10557"
"2018","AC","1","19","PRESIDENTE","1531"
"2018","AC","1","27","PRESIDENTE","241"
"2018","AC","1","30","PRESIDENTE","1990"
"2018","AC","1","45","PRESIDENTE","33115"
"2018","AC","1","50","PRESIDENTE","1642"
"2018","AC","1","51","PRESIDENTE","3564"
"2018","AC","1","54","PRESIDENTE","113"
"2018","AC","1","95","PRESIDENTE","5499"
"2018","AC","1","96","PRESIDENTE","16357"
"2018","AC","2","13","PRESIDENTE","86977"
"2018","AC","2","17","PRESIDENTE","294899"
"2018","AC","2","95","PRESIDENTE","6594"
"2018","AC","2","96","PRESIDENTE","10659"
"2018","AL","1","12","PRESIDENTE","155457"
"2018","AL","1","13","PRESIDENTE","687247"
"2018","AL","1","15","PRESIDENTE","43895"
"2018","AL","1","16","PRESIDENTE","744"
"2018","AL","1","17","PRESIDENTE","528355"
"2018","AL","1","18","PRESIDENTE","15843"
"2018","AL","1","19","PRESIDENTE","5128"
"2018","AL","1","27","PRESIDENTE","410"
"2018","AL","1","30","PRESIDENTE","11697"
"2018","AL","1","45","PRESIDENTE","58580"
"2018","AL","1","50","PRESIDENTE","8863"
"2018","AL","1","51","PRESIDENTE","19106"
"2018","AL","1","54","PRESIDENTE","421"
"2018","AL","1","95","PRESIDENTE","46692"
"2018","AL","1","96","PRESIDENTE","111065"
"2018","AL","2","13","PRESIDENTE","912034"
"2018","AL","2","17","PRESIDENTE","610093"
"2018","AL","2","95","PRESIDENTE","25919"
"2018","AL","2","96","PRESIDENTE","96413"
"2018","AM","1","12","PRESIDENTE","138997"
"2018","AM","1","13","PRESIDENTE","746998"
"2018","AM","1","15","PRESIDENTE","23420"
"2018","AM","1","16","PRESIDENTE","835"
"2018","AM","1","17","PRESIDENTE","805902"
"2018","AM","1","18","PRESIDENTE","29196"
"2018","AM","1","19","PRESIDENTE","8589"
"2018","AM","1","27","PRESIDENTE","1091"
"2018","AM","1","30","PRESIDENTE","26888"
"2018","AM","1","45","PRESIDENTE","29190"
"2018","AM","1","50","PRESIDENTE","11090"
"2018","AM","1","51","PRESIDENTE","31107"
"2018","AM","1","54","PRESIDENTE","288"
"2018","AM","1","95","PRESIDENTE","29010"
"2018","AM","1","96","PRESIDENTE","76277"
"2018","AM","2","13","PRESIDENTE","875845"
"2018","AM","2","17","PRESIDENTE","885401"
"2018","AM","2","95","PRESIDENTE","29353"
"2018","AM","2","96","PRESIDENTE","118680"
"2018","AP","1","12","PRESIDENTE","50553"
"2018","AP","1","13","PRESIDENTE","134287"
"2018","AP","1","15","PRESIDENTE","5611"
"2018","AP","1","16","PRESIDENTE","560"
"2018","AP","1","17","PRESIDENTE","166935"
"2018","AP","1","18","PRESIDENTE","9008"
"2018","AP","1","19","PRESIDENTE","1435"
"2018","AP","1","27","PRESIDENTE","247"
"2018","AP","1","30","PRESIDENTE","7490"
"2018","AP","1","45","PRESIDENTE","19241"
"2018","AP","1","50","PRESIDENTE","5432"
"2018","AP","1","51","PRESIDENTE","8882"
"2018","AP","1","54","PRESIDENTE","76"
"2018","AP","1","95","PRESIDENTE","4739"
"2018","AP","1","96","PRESIDENTE","12124"
"2018","AP","2","13","PRESIDENTE","183616"
"2018","AP","2","17","PRESIDENTE","185096"
"2018","AP","2","95","PRESIDENTE","6589"
"2018","AP","2","96","PRESIDENTE","19638"
