dbn,school_name,num_of_sat_test_takers,critical_reading_mean,math_mean,writing_mean,building_code,location_name,location_code,address,geographical_district_code,postcode,latitude,longitude,geo_cat_code
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,M056,Henry Street School for International Studies,M292,220 HENRY STREET,1,10002,40.713684,-73.986336,1-4
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,M446,University Neighborhood High School,M448,200 MONROE STREET,1,10002,40.712399,-73.984497,1-4
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,M060,East Side Community School,M450,420 EAST 12 STREET,1,10009,40.729589,-73.982555,1-4
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,M510,Forsyth Satellite Academy,M458,198 FORSYTH STREET,1,10002,40.72252,-73.990728,1-4
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,M025,Marta Valle High School,M509,145 STANTON STREET,1,10002,40.720581,-73.985645,1-4
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,M025,Lower East Side Preparatory High School,M515,145 STANTON STREET,1,10002,40.720581,-73.985645,1-4
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,M022,"New Explorations into Science, Technology and Math",M539,111 COLUMBIA STREET,1,10002,40.718895,-73.979308,1-4
01M650,CASCADES HIGH SCHOOL,18,417,418,411,M510,Cascades High School,M650,198 FORSYTH STREET,1,10002,40.72252,-73.990728,1-4
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,M097,Bard High School Early College,M696,525 EAST HOUSTON STREET,1,10002,40.719029,-73.975891,1-4
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,M047,47 The American Sign Language and English Secondar,M047,223 EAST 23 STREET,2,10010,40.738548,-73.982455,1-4
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,M535,Food and Finance High School,M288,525 WEST  50TH STREET,2,10019,40.765184,-73.992953,1-4
02M294,ESSEX STREET ACADEMY,53,394,384,378,M445,Essex Street Academy,M294,350 GRAND STREET,2,10002,40.716778,-73.989337,1-4
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,M535,High School of Hospitality Management,M296,525 WEST  50TH STREET,2,10019,40.765184,-73.992953,1-4
02M298,PACE HIGH SCHOOL,85,423,438,432,M131,Pace High School,M298,100 HESTER STREET,2,10002,40.716553,-73.993092,1-4
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,M535,"Urban Assembly School of Design and Construction,",M300,525 WEST  50TH STREET,2,10019,40.765184,-73.992953,1-4
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,M535,"Facing History School, The",M303,525 WEST  50TH STREET,2,10019,40.765184,-73.992953,1-4
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,M445,"Urban Assembly Academy of Government and Law, The",M305,350 GRAND STREET,2,10002,40.716778,-73.989337,1-4
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,M445,Lower Manhattan Arts Academy,M308,350 GRAND STREET,2,10002,40.716778,-73.989337,1-4
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,M440,"James Baldwin School, The: A School for Expedition",M313,351 WEST  18 STREET,2,10011,40.742867,-74.002136,1-4
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,M282,"Urban Assembly School of Business for Young Women,",M316,26 BROADWAY,2,10004,40.70568,-74.013302,1-4
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,M460,Gramercy Arts High School,M374,40 IRVING PLACE,2,10003,40.735494,-73.987659,1-4
02M376,NYC ISCHOOL,92,473,483,479,M615,NYC iSchool,M376,131 AVENUE OF THE AMERICAS,2,10013,40.7244,-74.004625,1-4
