"","ANO_ELEICAO","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","AC","AL","AM","AP","BA","CE","DF","ES","GO","MA","MG","MS","MT","PA","PB","PE","PI","PR","RJ","RN","RO","RR","RS","SC","SE","SP","TO","ZZ"
"1",2018,1,12,"PRESIDENTE",21809,155457,138997,50553,693273,1998597,266272,195553,280864,282472,1278819,112296,91344,415593,362775,640860,211240,510541,1300292,399766,52118,14838,724429,264312,148526,2650440,54262,27991
"2",2018,1,13,"PRESIDENTE",78170,687247,746998,134287,4441955,1616492,190508,495868,713535,2062638,3037957,333407,404604,1714822,984398,2309104,1172147,1210974,1255425,738165,176107,49406,1453291,598578,571234,3833982,311212,19485
"3",2018,1,15,"PRESIDENTE",6458,43895,23420,5611,33109,27902,26939,22232,90778,52214,111999,18154,16735,100724,21900,32088,16761,73795,77333,11480,12829,3426,124713,51670,8784,267725,5324,947
"4",2018,1,16,"PRESIDENTE",80,744,835,560,2240,1563,908,711,1011,2842,6160,623,610,2391,819,2021,850,2246,6005,1034,464,146,3086,1686,3093,12434,251,349
"5",2018,1,17,"PRESIDENTE",262508,528355,805902,166935,1725140,1061075,936494,1122131,1868686,817531,5308047,769116,981119,1499294,677718,1444685,346944,3496448,5107735,541448,538311,174306,3353623,2603665,310310,12378012,337782,113382
"6",2018,1,18,"PRESIDENTE",10557,15843,29196,9008,61481,18071,32115,26529,28783,23635,97410,12279,12487,53682,12508,46524,13313,47335,130794,10690,7351,4098,50007,25813,15829,262050,7229,4953
"7",2018,1,19,"PRESIDENTE",1531,5128,8589,1435,20838,8142,11138,11352,15628,6320,46716,12527,13086,12407,6078,9853,5218,322416,41544,5148,8738,1472,44890,51771,4483,177949,2471,2728
"8",2018,1,27,"PRESIDENTE",241,410,1091,247,2087,1261,822,792,1291,776,3643,325,598,1413,526,1046,551,1582,4636,486,272,116,1525,859,231,14462,242,178
"9",2018,1,30,"PRESIDENTE",1990,11697,26888,7490,43800,23198,44879,44306,70023,17233,426334,26491,25971,28314,16859,46153,15308,190686,139208,15570,16329,4309,186087,158562,9192,1062118,7113,13604
"10",2018,1,45,"PRESIDENTE",33115,58580,29190,19241,172900,53157,53640,79049,146440,50654,506590,90897,67498,229122,51334,77987,47974,220744,208325,40405,37048,19231,350800,154068,45978,2224049,21666,6648
"11",2018,1,50,"PRESIDENTE",1642,8863,11090,5432,31499,15103,13177,8358,13806,16016,50587,6174,6858,32417,6901,20688,6145,27091,57846,6975,5368,2443,41736,21484,7934,187451,2764,1271
"12",2018,1,51,"PRESIDENTE",3564,19106,31107,8882,138234,54786,26925,41734,33349,34204,110054,14337,12907,51547,23280,93330,12212,39955,211444,20575,9816,2928,35458,22392,14069,274672,6284,1171
"13",2018,1,54,"PRESIDENTE",113,421,288,76,1989,808,700,533,595,412,3398,319,319,1009,448,877,280,1876,2806,511,150,69,2791,923,717,7435,160,152
"14",2018,1,95,"PRESIDENTE",5499,46692,29010,4739,169806,111881,31995,61910,81276,60409,381959,30951,33540,70590,67039,153557,32809,165991,282605,44605,15329,2833,235396,103220,32124,837211,8915,5042
"15",2018,1,96,"PRESIDENTE",16357,111065,76277,12124,697750,252676,59212,113201,208869,177960,845008,51412,90262,188473,204291,514413,116180,308785,653582,130877,33110,7529,230716,187275,107796,1740759,65924,4334
"16",2018,1,97,"PRESIDENTE",NA,NA,NA,NA,746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
