"","ANO_ELEICAO","UF","NUM_TURNO","NUMERO_CANDIDATO","DESCRICAO_CARGO","QTDE_VOTOS"
"1",2018,"AC",1,12,"PRESIDENTE",21809
"2",2018,"AC",1,13,"PRESIDENTE",78170
"3",2018,"AC",1,15,"PRESIDENTE",6458
"4",2018,"AC",1,16,"PRESIDENTE",80
"5",2018,"AC",1,17,"PRESIDENTE",262508
"6",2018,"AC",1,18,"PRESIDENTE",10557
"7",2018,"AC",1,19,"PRESIDENTE",1531
"8",2018,"AC",1,27,"PRESIDENTE",241
"9",2018,"AC",1,30,"PRESIDENTE",1990
"10",2018,"AC",1,45,"PRESIDENTE",33115
"11",2018,"AC",1,50,"PRESIDENTE",1642
"12",2018,"AC",1,51,"PRESIDENTE",3564
"13",2018,"AC",1,54,"PRESIDENTE",113
"14",2018,"AC",1,95,"PRESIDENTE",5499
"15",2018,"AC",1,96,"PRESIDENTE",16357
"16",2018,"AL",1,12,"PRESIDENTE",155457
"17",2018,"AL",1,13,"PRESIDENTE",687247
"18",2018,"AL",1,15,"PRESIDENTE",43895
"19",2018,"AL",1,16,"PRESIDENTE",744
"20",2018,"AL",1,17,"PRESIDENTE",528355
"21",2018,"AL",1,18,"PRESIDENTE",15843
"22",2018,"AL",1,19,"PRESIDENTE",5128
"23",2018,"AL",1,27,"PRESIDENTE",410
"24",2018,"AL",1,30,"PRESIDENTE",11697
"25",2018,"AL",1,45,"PRESIDENTE",58580
"26",2018,"AL",1,50,"PRESIDENTE",8863
"27",2018,"AL",1,51,"PRESIDENTE",19106
"28",2018,"AL",1,54,"PRESIDENTE",421
"29",2018,"AL",1,95,"PRESIDENTE",46692
"30",2018,"AL",1,96,"PRESIDENTE",111065
"31",2018,"AM",1,12,"PRESIDENTE",138997
"32",2018,"AM",1,13,"PRESIDENTE",746998
"33",2018,"AM",1,15,"PRESIDENTE",23420
"34",2018,"AM",1,16,"PRESIDENTE",835
"35",2018,"AM",1,17,"PRESIDENTE",805902
"36",2018,"AM",1,18,"PRESIDENTE",29196
"37",2018,"AM",1,19,"PRESIDENTE",8589
"38",2018,"AM",1,27,"PRESIDENTE",1091
"39",2018,"AM",1,30,"PRESIDENTE",26888
"40",2018,"AM",1,45,"PRESIDENTE",29190
"41",2018,"AM",1,50,"PRESIDENTE",11090
"42",2018,"AM",1,51,"PRESIDENTE",31107
"43",2018,"AM",1,54,"PRESIDENTE",288
"44",2018,"AM",1,95,"PRESIDENTE",29010
"45",2018,"AM",1,96,"PRESIDENTE",76277
"46",2018,"AP",1,12,"PRESIDENTE",50553
"47",2018,"AP",1,13,"PRESIDENTE",134287
"48",2018,"AP",1,15,"PRESIDENTE",5611
"49",2018,"AP",1,16,"PRESIDENTE",560
"50",2018,"AP",1,17,"PRESIDENTE",166935
"51",2018,"AP",1,18,"PRESIDENTE",9008
"52",2018,"AP",1,19,"PRESIDENTE",1435
"53",2018,"AP",1,27,"PRESIDENTE",247
"54",2018,"AP",1,30,"PRESIDENTE",7490
"55",2018,"AP",1,45,"PRESIDENTE",19241
"56",2018,"AP",1,50,"PRESIDENTE",5432
"57",2018,"AP",1,51,"PRESIDENTE",8882
"58",2018,"AP",1,54,"PRESIDENTE",76
"59",2018,"AP",1,95,"PRESIDENTE",4739
"60",2018,"AP",1,96,"PRESIDENTE",12124
"61",2018,"BA",1,12,"PRESIDENTE",693273
"62",2018,"BA",1,13,"PRESIDENTE",4441955
"63",2018,"BA",1,15,"PRESIDENTE",33109
"64",2018,"BA",1,16,"PRESIDENTE",2240
"65",2018,"BA",1,17,"PRESIDENTE",1725140
"66",2018,"BA",1,18,"PRESIDENTE",61481
"67",2018,"BA",1,19,"PRESIDENTE",20838
"68",2018,"BA",1,27,"PRESIDENTE",2087
"69",2018,"BA",1,30,"PRESIDENTE",43800
"70",2018,"BA",1,45,"PRESIDENTE",172900
"71",2018,"BA",1,50,"PRESIDENTE",31499
"72",2018,"BA",1,51,"PRESIDENTE",138234
"73",2018,"BA",1,54,"PRESIDENTE",1989
"74",2018,"BA",1,95,"PRESIDENTE",169806
"75",2018,"BA",1,96,"PRESIDENTE",697750
"76",2018,"BA",1,97,"PRESIDENTE",746
"77",2018,"CE",1,12,"PRESIDENTE",1998597
"78",2018,"CE",1,13,"PRESIDENTE",1616492
"79",2018,"CE",1,15,"PRESIDENTE",27902
"80",2018,"CE",1,16,"PRESIDENTE",1563
"81",2018,"CE",1,17,"PRESIDENTE",1061075
"82",2018,"CE",1,18,"PRESIDENTE",18071
"83",2018,"CE",1,19,"PRESIDENTE",8142
"84",2018,"CE",1,27,"PRESIDENTE",1261
"85",2018,"CE",1,30,"PRESIDENTE",23198
"86",2018,"CE",1,45,"PRESIDENTE",53157
"87",2018,"CE",1,50,"PRESIDENTE",15103
"88",2018,"CE",1,51,"PRESIDENTE",54786
"89",2018,"CE",1,54,"PRESIDENTE",808
"90",2018,"CE",1,95,"PRESIDENTE",111881
"91",2018,"CE",1,96,"PRESIDENTE",252676
"92",2018,"DF",1,12,"PRESIDENTE",266272
"93",2018,"DF",1,13,"PRESIDENTE",190508
"94",2018,"DF",1,15,"PRESIDENTE",26939
"95",2018,"DF",1,16,"PRESIDENTE",908
"96",2018,"DF",1,17,"PRESIDENTE",936494
"97",2018,"DF",1,18,"PRESIDENTE",32115
"98",2018,"DF",1,19,"PRESIDENTE",11138
"99",2018,"DF",1,27,"PRESIDENTE",822
"100",2018,"DF",1,30,"PRESIDENTE",44879
"101",2018,"DF",1,45,"PRESIDENTE",53640
"102",2018,"DF",1,50,"PRESIDENTE",13177
"103",2018,"DF",1,51,"PRESIDENTE",26925
"104",2018,"DF",1,54,"PRESIDENTE",700
"105",2018,"DF",1,95,"PRESIDENTE",31995
"106",2018,"DF",1,96,"PRESIDENTE",59212
"107",2018,"ES",1,12,"PRESIDENTE",195553
"108",2018,"ES",1,13,"PRESIDENTE",495868
"109",2018,"ES",1,15,"PRESIDENTE",22232
